MLBCODE,full_name
110385,Brad Ausmus
110432,Jeff Bagwell
204020,Lance Berkman
110987,Craig Biggio
150398,Geoff Blum
111228,Pedro Borbon
112906,Nelson Cruz
136734,Octavio Dotel
348563,Morgan Ensberg
276361,Adam Everett
114971,Tom Gordon
400056,Carlos Hernandez
115902,Richard Hidalgo
116326,Brian Hunter
407835,Jason Lane
400058,Brad Lidge
117928,Mark Loretta
150061,Julio Lugo
118958,Orlando Merced
150063,Wade Miller
119211,Dave Mlicki
133729,Peter Munro
400061,Roy Oswalt
407836,Brandon Puffer
400062,Tim Redding
121110,Shane Reynolds
276359,Jeriome Robertson
424164,Kirk Saarloos
150392,Ricky Stone
123743,Jose Vizcaino
123790,Billy Wagner
132880,Daryle Ward
124748,Gregg Zaun
150043,Alan Zinter
111072,Henry Blanco
407794,Jung Bong
111369,Darren Bragg
112106,Vinny Castilla
425307,Joey Dawley
136660,Mark DeRosa
407795,John Ennis
407796,John Foster
212297,Julio Franco
114376,Matt Franco
279577,Rafael Furcal
279578,Marcus Giles
114849,Tom Glavine
407839,Kevin Gryboski
115391,Chris Hammond
136500,Wes Helms
408074,Trey Hodges
116100,Darren Holmes
116706,Chipper Jones
116662,Andruw Jones
117763,Kerry Ligtenberg
117854,Keith Lockhart
117919,Javy Lopez
117913,Albie Lopez
118120,Greg Maddux
150302,Jason Marquis
119154,Kevin Millwood
150305,Damian Moss
121060,Mike Remlinger
122111,Gary Sheffield
122477,John Smoltz
407486,Tim Spooneybarger
122989,B.J. Surhoff
150161,Israel Alcantara
132720,Paul Bako
150071,Ronnie Belliard
133322,Mike Buddie
111850,Jose Cabrera
134342,Ryan Christenson
113211,Mike DeJean
136304,Valerio De Los Santos
424947,Ben Diggins
284565,Jayson Durocher
150153,Nelson Figueroa
114354,Chad Fox
348562,Keith Ginter
407849,Bill Hall
115394,Jeffrey Hammonds
115529,Lenny Harris
115825,Jose Hernandez
132961,Geoff Jenkins
150037,Ray King
118079,Robert Machado
424585,Shane Nance
400302,Nick Neugebauer
275701,Jimmy Osting
275935,Ruben Quevedo
121556,Glendon Rusch
425106,Jim Rushford
400128,Alex Sanchez
122027,Richie Sexson
282656,Ben Sheets
122644,Matt Stairs
123302,Ryan Thompson
150430,Luis Vizcaino
124695,Eric Young
110854,Andy Benes
111867,Miguel Cairo
150086,Mike Coolbaugh
407866,Mike Crudale
112905,Ivan Cruz
113234,Wilson Delgado
113358,Mike Difelice
136770,J.D. Drew
424685,Matt Duff
113744,Jim Edmonds
114032,Jeff Fassero
114133,Chuck Finley
235097,Luther Hackman
116414,Jason Isringhausen
117157,Steve Kline
118305,Eli Marrero
118362,Tino Martinez
118414,Mike Matheny
150461,Keith McDonald
119403,Matt Morris
120408,Eduardo Perez
405395,Albert Pujols
121074,Edgar Renteria
137005,Kerry Robinson
121409,Scott Rolen
421004,Jason Simontacchi
134000,Travis Smith
276536,Gene Stechschulte
122751,Garrett Stephenson
408039,So Taguchi
123707,Dave Veres
123726,Fernando Vina
124184,Rick White
124315,Woody Williams
124604,Jamey Wright
110134,Antonio Alfonseca
110189,Moises Alou
110840,Mark Bellhorn
407779,Francis Beltran
110853,Alan Benes
110891,Jason Bere
111244,Joe Borowski
150032,Roosevelt Brown
400292,Hee Seop Choi
136725,Matt Clement
407297,Juan Cruz
112940,Will Cunnane
113724,Angel Echevarria
150035,Kyle Farnsworth
114833,Joe Girardi
114924,Alex Gonzalez
150252,Chad Hermansen
407930,Bobby Hill
116316,Todd Hundley
117758,Jon Lieber
118163,Pat Mahomes
118730,Fred McGriff
324432,Augie Ojeda
120047,Kevin Orie
279913,Corey Patterson
407578,Mark Prior
133260,Jesus Sanchez
407790,Steve Smyth
122544,Sammy Sosa
122918,Chris Stynes
134268,Kerry Wood
407296,Carlos Zambrano
110230,Brian Anderson
150148,Rod Barajas
110683,Miguel Batista
110712,Danny Bautista
110826,Jay Bell
400090,Alex Cintron
112461,Greg Colbrunn
112736,Craig Counsell
113240,David Dellucci
220194,Erubiel Durazo
114097,Mike Fetters
114135,Steve Finley
114935,Luis Gonzalez
115007,Mark Grace
115727,Rick Helling
116615,Randy Johnson
218294,Byung-Hyun Kim
407377,Mike Koplove
118256,Matt Mantei
118609,Quinton McCracken
150224,Chad Moeller
119629,Rodney Myers
400280,Eddie Oropesa
407489,Lyle Overbay
279568,John Patterson
400092,Bret Prinz
121117,Armando Reynoso
121811,Curt Schilling
150160,Junior Spivey
123057,Greg Swindell
124326,Matt Williams
124523,Tony Womack
282598,Luke Allen
