year,mlb_id,pitch_type,times
2008,110029,CH,305
2008,110029,CU,253
2008,110029,EP,1
2008,110029,FA,1
2008,110029,FC,152
2008,110029,FF,936
2008,110029,FS,43
2008,110029,FT,411
2008,110029,IN,4
2008,110029,KC,34
2008,110029,KN,30
2008,110029,SI,392
2008,110029,SL,323
2008,110189,CH,18
2008,110189,CU,13
2008,110189,FC,6
2008,110189,FF,47
2008,110189,FS,4
2008,110189,FT,12
2008,110189,SI,12
2008,110189,SL,35
2008,110236,CH,280
2008,110236,CU,234
2008,110236,EP,1
2008,110236,FA,4
2008,110236,FC,108
2008,110236,FF,547
2008,110236,FO,3
2008,110236,FS,46
2008,110236,FT,171
2008,110236,IN,18
2008,110236,KC,22
2008,110236,KN,30
2008,110236,PO,2
2008,110236,SI,310
2008,110236,SL,260
2008,110383,CH,131
2008,110383,CU,121
2008,110383,FC,72
2008,110383,FF,577
2008,110383,FS,22
2008,110383,FT,142
2008,110383,IN,13
2008,110383,KC,5
2008,110383,PO,4
2008,110383,SI,219
2008,110383,SL,227
2008,110385,CH,45
2008,110385,CU,39
2008,110385,FC,41
2008,110385,FF,379
2008,110385,FS,11
2008,110385,FT,94
2008,110385,IN,11
2008,110385,KC,2
2008,110385,PO,4
2008,110385,SI,208
2008,110385,SL,111
2008,110683,FT,4
2008,110870,CH,6
2008,110870,CU,10
2008,110870,FC,6
2008,110870,FF,24
2008,110870,FS,6
2008,110870,FT,9
2008,110870,SI,19
2008,111072,CH,45
2008,111072,CU,28
2008,111072,FC,26
2008,111072,FF,152
2008,111072,FS,5
2008,111072,FT,31
2008,111072,IN,4
2008,111072,KC,4
2008,111072,PO,1
2008,111072,SI,83
2008,111072,SL,65
2008,111213,CH,118
2008,111213,CU,70
2008,111213,FA,1
2008,111213,FC,22
2008,111213,FF,281
2008,111213,FS,8
2008,111213,FT,85
2008,111213,IN,1
2008,111213,KC,2
2008,111213,SI,151
2008,111213,SL,134
2008,111492,FF,1
2008,111548,CH,189
2008,111548,CU,122
2008,111548,FC,105
2008,111548,FF,410
2008,111548,FS,18
2008,111548,FT,149
2008,111548,IN,5
2008,111548,KC,18
2008,111548,KN,18
2008,111548,PO,1
2008,111548,SI,244
2008,111548,SL,189
2008,111838,CU,1
2008,111838,FC,1
2008,111838,FF,11
2008,111838,FT,1
2008,111838,SL,3
2008,111851,CH,209
2008,111851,CU,201
2008,111851,EP,3
2008,111851,FA,1
2008,111851,FC,155
2008,111851,FF,983
2008,111851,FS,21
2008,111851,FT,207
2008,111851,IN,2
2008,111851,KC,30
2008,111851,KN,15
2008,111851,PO,5
2008,111851,SI,390
2008,111851,SL,327
2008,111867,CH,60
2008,111867,CU,53
2008,111867,FC,42
2008,111867,FF,337
2008,111867,FS,7
2008,111867,FT,90
2008,111867,KN,9
2008,111867,PO,4
2008,111867,SI,167
2008,111867,SL,96
2008,111904,CH,236
2008,111904,CU,140
2008,111904,FC,106
2008,111904,FF,730
2008,111904,FO,2
2008,111904,FS,14
2008,111904,FT,252
2008,111904,KC,5
2008,111904,KN,12
2008,111904,SI,275
2008,111904,SL,343
2008,112020,FF,9
2008,112020,FT,9
2008,112020,SL,11
2008,112077,CH,23
2008,112077,CU,20
2008,112077,FC,2
2008,112077,FF,72
2008,112077,FS,6
2008,112077,FT,30
2008,112077,PO,1
2008,112077,SI,24
2008,112077,SL,32
2008,112087,CH,67
2008,112087,CU,55
2008,112087,EP,1
2008,112087,FC,30
2008,112087,FF,284
2008,112087,FS,9
2008,112087,FT,84
2008,112087,IN,12
2008,112087,KC,8
2008,112087,KN,4
2008,112087,SI,136
2008,112087,SL,55
2008,112116,CH,139
2008,112116,CU,110
2008,112116,EP,1
2008,112116,FC,62
2008,112116,FF,581
2008,112116,FS,28
2008,112116,FT,169
2008,112116,IN,4
2008,112116,KN,8
2008,112116,PO,5
2008,112116,SI,237
2008,112116,SL,135
2008,112128,CH,22
2008,112128,CU,33
2008,112128,FA,1
2008,112128,FC,47
2008,112128,FF,250
2008,112128,FS,7
2008,112128,FT,63
2008,112128,KC,13
2008,112128,PO,1
2008,112128,SI,92
2008,112128,SL,68
2008,112131,CH,122
2008,112131,CU,59
2008,112131,EP,2
2008,112131,FC,40
2008,112131,FF,366
2008,112131,FS,18
2008,112131,FT,103
2008,112131,KC,6
2008,112131,KN,29
2008,112131,PO,2
2008,112131,SI,172
2008,112131,SL,78
2008,112223,CH,9
2008,112223,CU,29
2008,112223,FC,27
2008,112223,FF,126
2008,112223,FS,1
2008,112223,FT,27
2008,112223,IN,4
2008,112223,SI,70
2008,112223,SL,50
2008,112316,CH,60
2008,112316,CU,78
2008,112316,FC,14
2008,112316,FF,295
2008,112316,FS,10
2008,112316,FT,99
2008,112316,IN,3
2008,112316,KC,1
2008,112316,SI,109
2008,112316,SL,99
2008,112526,CH,3
2008,112526,FF,4
2008,112736,CH,118
2008,112736,CU,102
2008,112736,FC,43
2008,112736,FF,503
2008,112736,FS,17
2008,112736,FT,148
2008,112736,IN,4
2008,112736,KC,8
2008,112736,KN,7
2008,112736,PO,1
2008,112736,SI,198
2008,112736,SL,121
2008,112903,CH,35
2008,112903,CU,15
2008,112903,FC,4
2008,112903,FF,72
2008,112903,FS,1
2008,112903,FT,31
2008,112903,SI,22
2008,112903,SL,33
2008,113028,CH,223
2008,113028,CU,170
2008,113028,EP,1
2008,113028,FC,153
2008,113028,FF,905
2008,113028,FS,24
2008,113028,FT,330
2008,113028,KC,17
2008,113028,KN,24
2008,113028,SI,394
2008,113028,SL,226
2008,113232,CH,231
2008,113232,CU,238
2008,113232,FC,145
2008,113232,FF,877
2008,113232,FS,54
2008,113232,FT,236
2008,113232,IN,60
2008,113232,KC,8
2008,113232,KN,8
2008,113232,PO,3
2008,113232,SI,321
2008,113232,SL,337
2008,113240,CH,232
2008,113240,CU,141
2008,113240,EP,1
2008,113240,FA,2
2008,113240,FC,62
2008,113240,FF,452
2008,113240,FO,2
2008,113240,FS,25
2008,113240,FT,92
2008,113240,IN,4
2008,113240,KC,10
2008,113240,KN,20
2008,113240,SI,231
2008,113240,SL,191
2008,113358,CH,1
2008,113358,CU,3
2008,113358,FC,5
2008,113358,FF,25
2008,113358,FT,8
2008,113358,KC,2
2008,113358,SI,6
2008,113358,SL,12
2008,113660,CH,209
2008,113660,CU,123
2008,113660,EP,1
2008,113660,FC,47
2008,113660,FF,697
2008,113660,FO,2
2008,113660,FS,41
2008,113660,FT,197
2008,113660,IN,4
2008,113660,KC,8
2008,113660,PO,3
2008,113660,SI,253
2008,113660,SL,159
2008,113679,CH,264
2008,113679,CU,217
2008,113679,FA,1
2008,113679,FC,170
2008,113679,FF,837
2008,113679,FS,22
2008,113679,FT,221
2008,113679,IN,12
2008,113679,KC,23
2008,113679,SI,382
2008,113679,SL,432
2008,113702,CH,114
2008,113702,CU,111
2008,113702,FC,70
2008,113702,FF,352
2008,113702,FS,13
2008,113702,FT,118
2008,113702,KC,2
2008,113702,KN,3
2008,113702,PO,2
2008,113702,SI,185
2008,113702,SL,227
2008,113744,CH,169
2008,113744,CU,103
2008,113744,FC,78
2008,113744,FF,610
2008,113744,FS,36
2008,113744,FT,205
2008,113744,IN,2
2008,113744,KC,4
2008,113744,PO,1
2008,113744,SI,244
2008,113744,SL,191
2008,113889,CH,124
2008,113889,CU,77
2008,113889,EP,2
2008,113889,FA,2
2008,113889,FC,32
2008,113889,FF,396
2008,113889,FS,37
2008,113889,FT,132
2008,113889,IN,5
2008,113889,KC,1
2008,113889,PO,3
2008,113889,SI,256
2008,113889,SL,152
2008,113915,CH,3
2008,113915,FC,1
2008,113915,FF,24
2008,113915,FT,2
2008,113915,KC,1
2008,113915,SI,11
2008,113915,SL,5
2008,114031,CH,14
2008,114031,CU,15
2008,114031,EP,1
2008,114031,FC,10
2008,114031,FF,77
2008,114031,FS,2
2008,114031,FT,27
2008,114031,KC,2
2008,114031,KN,2
2008,114031,SI,36
2008,114031,SL,23
2008,114260,CH,125
2008,114260,CU,104
2008,114260,EP,2
2008,114260,FC,69
2008,114260,FF,332
2008,114260,FS,46
2008,114260,FT,55
2008,114260,IN,4
2008,114260,KC,10
2008,114260,KN,22
2008,114260,PO,1
2008,114260,SI,152
2008,114260,SL,161
2008,114596,CH,76
2008,114596,CU,41
2008,114596,FC,40
2008,114596,FF,233
2008,114596,FS,8
2008,114596,FT,53
2008,114596,IN,2
2008,114596,KC,7
2008,114596,KN,3
2008,114596,SI,58
2008,114596,SL,93
2008,114739,CH,262
2008,114739,CU,210
2008,114739,FC,125
2008,114739,FF,776
2008,114739,FO,2
2008,114739,FS,44
2008,114739,FT,260
2008,114739,IN,9
2008,114739,KC,28
2008,114739,KN,57
2008,114739,SI,313
2008,114739,SL,293
2008,114789,CH,224
2008,114789,CU,187
2008,114789,FC,87
2008,114789,FF,853
2008,114789,FS,48
2008,114789,FT,273
2008,114789,IN,7
2008,114789,KC,24
2008,114789,PO,2
2008,114789,SI,368
2008,114789,SL,226
2008,114849,CH,14
2008,114849,CU,2
2008,114849,FA,1
2008,114849,FC,5
