season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,110029,CB,218,64,5,3,0,0,0.1290625
2010,110029,CH,342,124,11,1,0,3,0.14
2010,110029,CT,132,48,4,1,0,2,0.188125
2010,110029,FB,1807,551,50,33,1,12,0.2054990925589837
2010,110029,KN,13,5,1,0,0,0,0.17800000000000002
2010,110029,SF,41,15,1,0,0,0,0.059333333333333335
2010,110029,SL,275,115,11,3,0,3,0.17304347826086958
2010,110236,CB,68,23,1,0,0,0,0.03869565217391304
2010,110236,CH,94,45,2,1,0,0,0.06777777777777777
2010,110236,CT,24,13,1,0,0,0,0.06846153846153846
2010,110236,FB,284,120,12,4,0,2,0.16633333333333333
2010,110236,KN,12,9,1,1,0,0,0.24
2010,110236,SF,16,10,1,0,0,0,0.08900000000000001
2010,110236,SL,86,47,1,0,1,0,0.053404255319148934
2010,110385,CB,12,5,0,0,0,0,0.1407142857142857
2010,110385,CH,12,5,0,1,0,0,0.254
2010,110385,CT,8,2,0,0,0,0,0.1407142857142857
2010,110385,FB,205,89,9,0,0,0,0.09
2010,110385,SF,7,4,0,0,0,0,0.1407142857142857
2010,110385,SL,52,24,2,1,0,0,0.12708333333333333
2010,110683,CB,2,1,0,0,0,0,0.1407142857142857
2010,110683,CT,2,2,0,0,0,0,0.1407142857142857
2010,110683,FB,21,7,1,0,0,0,0.12714285714285714
2010,110683,SL,7,5,0,0,0,0,0.1407142857142857
2010,111072,CB,56,20,1,1,0,0,0.108
2010,111072,CH,57,34,1,1,0,0,0.06352941176470589
2010,111072,CT,33,15,0,0,0,0,0.1407142857142857
2010,111072,FB,270,147,15,3,0,2,0.1453061224489796
2010,111072,KN,4,1,0,0,0,0,0.1407142857142857
2010,111072,SF,5,2,0,0,0,0,0.1407142857142857
2010,111072,SL,81,40,4,0,0,0,0.08900000000000001
2010,111851,CB,169,73,8,3,0,0,0.14972602739726024
2010,111851,CH,164,92,7,4,0,1,0.1457608695652174
2010,111851,CT,87,43,8,0,0,0,0.1655813953488372
2010,111851,FB,1093,474,60,20,0,3,0.17953586497890295
2010,111851,KN,2,1,0,0,0,0,0.1407142857142857
