index,sid,Season,mlb_id,Team,xFIP,FB_percentage,FBv,SL_percentage,SLv,CT_percentage,CTv,CB_percentage,CBv,CH_percentage,CHv,SF_percentage,SFv,KN_percentage,KNv
0,14203,2019,543037,HOU,2.48,0.54,97.2,0.232,89.3,,,0.154,82.6,0.074,88.6,,,,
1,14204,2019,594798,NYM,3.11,0.495,96.9,0.315,92.5,,,0.03,84.3,0.16,90.3,,,,
2,14205,2019,458681,TEX,3.85,0.714,94.2,0.16,89.1,,,0.095,81.2,0.013,85,0.019,88.4,,
3,14206,2019,453286,WSH,2.88,0.483,94.9,0.205,85.6,0.08,89.8,0.087,78.6,0.145,84.3,,,,
4,14207,2019,434378,HOU,3.18,0.499,94.7,0.284,87.6,,,0.175,79.5,0.042,87,,,,
5,14208,2019,450203,TB,3.28,0.49,94.4,,,0.105,85.4,0.373,78.7,0.032,84.9,,,,
6,14209,2019,544931,WSH,3.17,0.483,93.9,0.004,87.9,,,0.306,81.3,0.207,87.8,,,,
7,14210,2019,669456,CLE,3.23,0.456,93.1,0.268,85.1,,,0.202,82.7,0.074,87.6,,,,
8,14211,2019,425844,Nan,3.74,0.465,90,0.161,83.7,,,0.154,70.2,0.221,87.3,,,,
9,14212,2019,608337,CWS,3.66,0.55,94.3,0.148,84.6,,,0.041,79.4,0.261,81.7,,,,
10,14213,2019,621111,LAD,3.37,0.603,96.6,0.14,86.8,0.133,92.8,0.12,80.8,0.005,92,,,,
11,14214,2019,547943,LAD,3.32,0.406,90.6,0.003,80.6,0.195,87,0.122,72.7,0.274,80.1,,,,
12,14215,2019,571578,WSH,3.59,0.537,91.9,0.37,81.7,,,0.036,68.1,0.058,81.8,,,,
13,14216,2019,656427,STL,3.64,0.582,93.9,0.275,84.9,,,0.121,78.2,0.022,86.5,,,,
14,14217,2019,554430,NYM,4.06,0.59,96.7,0.2,91.2,,,0.099,80.7,0.086,88.8,0.024,89.4,,
15,14218,2019,605182,CLE,3.09,0.512,95.5,0.256,80.8,,,0.12,77.7,0.113,87.1,,,,
16,14219,2019,621244,MIN,4.32,0.553,92.8,,,,,0.289,81.3,0.159,82.6,,,,
17,14220,2019,543243,CIN,3.65,0.472,93.3,0.216,84.7,0.004,88.9,0.247,81.8,0.061,89.9,,,,
18,14221,2019,592789,NYM,3.83,0.592,97.7,0.152,89.1,,,0.095,80.4,0.161,91.1,,,,
